,sale_date,license_id,license_plan_id,operation_type,billing_period,license_name,billing_plan_price,sale_month,sale_year
47,2021-06-01 09:01:00,71364,513,purchase,month,smart plus,8.99,6,2021
48,2021-04-12 16:49:00,67622,441,purchase,month,smart,3.5,4,2021
49,2021-05-12 17:02:00,67622,441,purchase,month,smart,3.5,5,2021
50,2021-04-22 12:28:00,69665,513,purchase,month,smart plus,8.99,4,2021
51,2021-05-02 21:52:00,69665,513,cancelation,month,smart plus,8.99,5,2021
52,2021-05-02 07:11:00,71346,513,purchase,month,smart plus,8.99,5,2021
53,2021-06-01 08:00:00,71346,513,purchase,month,smart plus,8.99,6,2021
54,2021-04-29 13:19:00,70984,441,purchase,month,smart,3.5,4,2021
55,2021-05-29 14:01:00,70984,441,purchase,month,smart,3.5,5,2021
56,2021-01-06 21:01:00,32058,497,purchase,month,enterprise,10.99,1,2021
57,2021-02-03 22:01:00,32058,497,purchase,month,enterprise,10.99,2,2021
58,2021-03-06 22:01:00,32058,497,purchase,month,enterprise,10.99,3,2021
59,2021-04-06 22:02:00,32058,497,cancelation,month,enterprise,10.99,4,2021
60,2021-01-26 23:02:00,48972,475,cancelation,trial,trial smart,0.0,1,2021
61,2021-03-13 17:39:00,61307,475,cancelation,trial,trial smart,0.0,3,2021
62,2021-01-26 07:35:00,31811,497,purchase,month,enterprise,10.99,1,2021
63,2021-02-26 07:01:00,31811,497,purchase,month,enterprise,10.99,2,2021
64,2021-03-28 08:02:00,31811,497,purchase,month,enterprise,10.99,3,2021
65,2021-04-28 09:01:00,31811,497,purchase,month,enterprise,10.99,4,2021
66,2021-05-28 10:01:00,31811,497,purchase,month,enterprise,10.99,5,2021
67,2021-04-28 09:18:00,70794,441,purchase,month,smart,3.5,4,2021
68,2021-05-28 10:01:00,70794,441,purchase,month,smart,3.5,5,2021
69,2020-12-19 23:01:00,43534,475,cancelation,trial,trial smart,0.0,12,2020
70,2021-06-04 05:14:00,76220,497,purchase,month,enterprise,10.99,6,2021
71,2021-02-17 22:01:00,51953,475,cancelation,trial,trial smart,0.0,2,2021
72,2021-02-01 18:29:00,53944,513,purchase,month,smart plus,8.99,2,2021
73,2021-02-01 18:31:00,53944,513,cancelation,month,smart plus,8.99,2,2021
74,2021-05-23 13:38:00,74408,497,purchase,month,enterprise,10.99,5,2021
75,2020-12-30 14:24:00,49472,497,purchase,month,enterprise,10.99,12,2020
76,2021-01-27 15:01:00,49472,497,purchase,month,enterprise,10.99,1,2021
77,2021-02-27 15:00:00,49472,497,purchase,month,enterprise,10.99,2,2021
78,2021-03-29 15:02:00,49472,497,purchase,month,enterprise,10.99,3,2021
79,2021-04-29 16:01:00,49472,497,purchase,month,enterprise,10.99,4,2021
80,2021-05-29 17:00:00,49472,497,purchase,month,enterprise,10.99,5,2021
81,2021-04-25 20:50:00,70293,520,purchase,month,smart plus,8.99,4,2021
82,2021-05-25 21:01:00,70293,520,purchase,month,smart plus,8.99,5,2021
83,2020-12-16 13:34:00,47644,513,cancelation,month,smart plus,8.99,12,2020
84,2020-12-17 13:18:00,47644,513,cancelation,month,smart plus,8.99,12,2020
85,2020-12-20 13:17:00,47644,513,cancelation,month,smart plus,8.99,12,2020
86,2020-12-21 12:58:00,47644,513,cancelation,month,smart plus,8.99,12,2020
87,2021-06-06 12:01:00,76542,513,purchase,month,smart plus,8.99,6,2021
88,2020-12-21 23:01:00,43711,475,cancelation,trial,trial smart,0.0,12,2020
89,2021-05-15 10:31:00,73072,497,purchase,month,enterprise,10.99,5,2021
90,2021-01-11 16:14:00,51035,455,purchase,month,smart,3.5,1,2021
91,2021-02-11 22:02:00,51035,455,cancelation,month,smart,3.5,2,2021
92,2021-06-02 22:09:00,51035,511,purchase,month,enterprise,10.99,6,2021
93,2021-04-23 08:43:00,69797,513,purchase,month,smart plus,8.99,4,2021
94,2021-05-23 22:01:00,69797,513,cancelation,month,smart plus,8.99,5,2021
95,2021-03-12 19:37:00,61197,507,purchase,month,enterprise,10.99,3,2021
96,2021-04-12 22:01:00,61197,507,cancelation,month,enterprise,10.99,4,2021
97,2021-01-24 16:25:00,28188,521,cancelation,year,smart plus,15.99,1,2021
98,2021-05-31 20:32:00,25402,441,purchase,month,smart,3.5,5,2021
99,2020-12-26 12:22:00,48888,497,purchase,month,enterprise,10.99,12,2020
100,2021-01-23 13:01:00,48888,497,purchase,month,enterprise,10.99,1,2021
101,2021-02-23 22:01:00,48888,497,cancelation,month,enterprise,10.99,2,2021
102,2020-12-23 10:26:00,48578,441,purchase,month,smart,3.5,12,2020
103,2021-01-20 23:01:00,48578,441,cancelation,month,smart,3.5,1,2021
104,2021-01-17 18:52:00,51892,442,purchase,year,smart,25.0,1,2021
105,2021-01-19 18:35:00,51892,442,cancelation,year,smart,25.0,1,2021
106,2021-05-23 22:05:00,74498,441,purchase,month,smart,3.5,5,2021
107,2021-06-01 15:13:00,74498,441,cancelation,month,smart,3.5,6,2021
108,2020-12-27 23:01:00,44517,497,cancelation,month,enterprise,10.99,12,2020
109,2020-12-23 21:01:00,29488,497,purchase,month,enterprise,10.99,12,2020
110,2021-01-20 22:00:00,29488,497,purchase,month,enterprise,10.99,1,2021
111,2021-02-20 22:01:00,29488,497,purchase,month,enterprise,10.99,2,2021
112,2021-03-22 23:01:00,29488,497,purchase,month,enterprise,10.99,3,2021
113,2021-04-23 22:01:00,29488,497,cancelation,month,enterprise,10.99,4,2021
114,2021-01-18 17:39:00,52054,475,cancelation,trial,trial smart,0.0,1,2021
115,2021-03-13 21:15:00,61386,497,purchase,month,enterprise,10.99,3,2021
116,2021-04-13 23:00:00,61386,497,cancelation,month,enterprise,10.99,4,2021
117,2021-05-10 08:07:00,72416,513,purchase,month,smart plus,8.99,5,2021
118,2021-05-10 09:40:00,72416,513,cancelation,month,smart plus,8.99,5,2021
119,2020-12-17 17:27:00,47809,456,purchase,year,smart,25.0,12,2020
120,2021-03-26 08:28:00,64048,497,purchase,month,enterprise,10.99,3,2021
121,2021-04-26 09:01:00,64048,497,purchase,month,enterprise,10.99,4,2021
122,2021-05-26 22:01:00,64048,497,cancelation,month,enterprise,10.99,5,2021
123,2021-05-31 18:10:00,75755,441,purchase,month,smart,3.5,5,2021
124,2021-04-03 07:53:00,65485,505,purchase,month,enterprise,10.99,4,2021
125,2021-05-04 08:02:00,65485,505,purchase,month,enterprise,10.99,5,2021
126,2021-06-03 22:02:00,65485,505,cancelation,month,enterprise,10.99,6,2021
127,2021-02-17 17:07:00,56086,497,purchase,month,enterprise,10.99,2,2021
128,2021-02-17 19:20:00,56086,497,cancelation,month,enterprise,10.99,2,2021
129,2021-02-23 10:07:00,56899,513,purchase,month,smart plus,8.99,2,2021
130,2021-03-25 11:01:00,56899,513,purchase,month,smart plus,8.99,3,2021
131,2021-04-25 12:00:00,56899,513,purchase,month,smart plus,8.99,4,2021
132,2021-05-25 12:02:00,56899,513,purchase,month,smart plus,8.99,5,2021
133,2021-01-08 20:01:00,38022,455,purchase,month,smart,3.5,1,2021
134,2021-02-05 21:01:00,38022,455,purchase,month,smart,3.5,2,2021
135,2021-03-08 21:01:00,38022,455,purchase,month,smart,3.5,3,2021
136,2021-04-07 22:01:00,38022,455,purchase,month,smart,3.5,4,2021
137,2021-05-08 23:01:00,38022,455,purchase,month,smart,3.5,5,2021
138,2021-02-01 18:36:00,53946,442,purchase,year,smart,25.0,2,2021
139,2021-05-11 08:17:00,71184,475,cancelation,trial,trial smart,0.0,5,2021
140,2020-12-25 14:16:00,48823,498,purchase,year,enterprise,19.99,12,2020
141,2021-05-31 16:40:00,75732,513,purchase,month,smart plus,8.99,5,2021
142,2021-05-31 16:40:00,75732,513,cancelation,month,smart plus,8.99,5,2021
143,2021-04-15 21:01:00,14038,512,purchase,year,enterprise,19.99,4,2021
144,2021-05-12 04:09:00,72670,513,purchase,month,smart plus,8.99,5,2021
145,2020-12-29 23:01:00,5267,375,cancelation,year,enterprise,18.99,12,2020
146,2021-01-31 12:38:00,5267,498,purchase,year,enterprise,19.99,1,2021
147,2021-01-21 17:24:00,52505,442,purchase,year,smart,25.0,1,2021
148,2020-12-30 17:08:00,30696,497,purchase,month,enterprise,10.99,12,2020
149,2021-01-27 18:08:00,30696,497,purchase,month,enterprise,10.99,1,2021
150,2021-02-27 18:07:00,30696,497,purchase,month,enterprise,10.99,2,2021
151,2021-03-29 19:06:00,30696,497,purchase,month,enterprise,10.99,3,2021
152,2021-04-29 20:06:00,30696,497,purchase,month,enterprise,10.99,4,2021
153,2021-05-29 21:06:00,30696,497,purchase,month,enterprise,10.99,5,2021
154,2021-03-18 22:09:00,12816,456,cancelation,year,smart,25.0,3,2021
155,2021-03-22 12:01:00,13298,498,purchase,year,enterprise,19.99,3,2021
156,2020-12-13 10:01:00,3141,439,purchase,year,enterprise,18.99,12,2020
157,2020-12-15 23:01:00,3556,375,cancelation,year,enterprise,18.99,12,2020
158,2021-01-09 22:01:00,32679,497,purchase,month,enterprise,10.99,1,2021
159,2021-02-06 22:01:00,32679,497,purchase,month,enterprise,10.99,2,2021
160,2021-03-09 23:01:00,32679,497,purchase,month,enterprise,10.99,3,2021
161,2021-04-09 00:00:00,32679,497,purchase,month,enterprise,10.99,4,2021
162,2021-05-10 00:01:00,32679,497,purchase,month,enterprise,10.99,5,2021
163,2021-05-04 17:22:00,71845,513,purchase,month,smart plus,8.99,5,2021
164,2021-06-03 18:02:00,71845,513,purchase,month,smart plus,8.99,6,2021
165,2020-12-24 17:06:00,13044,511,purchase,month,enterprise,10.99,12,2020
166,2021-01-21 18:05:00,13044,511,purchase,month,enterprise,10.99,1,2021
167,2021-02-21 18:04:00,13044,511,purchase,month,enterprise,10.99,2,2021
168,2021-03-23 19:03:00,13044,511,purchase,month,enterprise,10.99,3,2021
169,2021-04-23 20:03:00,13044,511,purchase,month,enterprise,10.99,4,2021
170,2021-05-23 21:02:00,13044,511,purchase,month,enterprise,10.99,5,2021
171,2021-05-26 09:44:00,74877,513,purchase,month,smart plus,8.99,5,2021
172,2021-02-21 13:07:00,56591,442,purchase,year,smart,25.0,2,2021
173,2021-02-23 10:37:00,56591,442,cancelation,year,smart,25.0,2,2021
174,2021-05-19 13:37:00,58901,520,purchase,month,smart plus,8.99,5,2021
175,2021-06-02 08:39:00,58901,520,cancelation,month,smart plus,8.99,6,2021
176,2021-01-02 23:01:00,45534,475,cancelation,trial,trial smart,0.0,1,2021
177,2020-12-18 22:01:00,4326,371,purchase,year,smart,20.0,12,2020
178,2020-12-29 23:01:00,44982,475,cancelation,trial,trial smart,0.0,12,2020
179,2020-12-17 16:00:00,3959,375,cancelation,year,enterprise,18.99,12,2020
180,2021-01-06 15:25:00,3959,498,purchase,year,enterprise,19.99,1,2021
181,2020-12-13 14:00:00,47110,441,purchase,month,smart,3.5,12,2020
182,2021-01-10 15:00:00,47110,441,purchase,month,smart,3.5,1,2021
183,2021-02-10 15:01:00,47110,441,purchase,month,smart,3.5,2,2021
184,2021-03-12 16:04:00,47110,441,purchase,month,smart,3.5,3,2021
185,2021-04-12 17:03:00,47110,441,purchase,month,smart,3.5,4,2021
186,2021-05-12 18:02:00,47110,441,purchase,month,smart,3.5,5,2021
187,2021-06-01 14:03:00,75885,513,purchase,month,smart plus,8.99,6,2021
188,2021-04-19 19:07:00,69136,497,purchase,month,enterprise,10.99,4,2021
189,2021-05-19 20:02:00,69136,497,purchase,month,enterprise,10.99,5,2021
190,2021-01-24 03:14:00,25819,497,purchase,month,enterprise,10.99,1,2021
191,2021-02-24 03:00:00,25819,497,purchase,month,enterprise,10.99,2,2021
192,2021-03-26 03:00:00,25819,497,purchase,month,enterprise,10.99,3,2021
193,2021-04-26 03:00:00,25819,497,purchase,month,enterprise,10.99,4,2021
194,2021-05-26 03:01:00,25819,497,purchase,month,enterprise,10.99,5,2021
195,2021-03-04 09:48:00,58817,441,purchase,month,smart,3.5,3,2021
196,2021-04-03 10:01:00,58817,441,purchase,month,smart,3.5,4,2021
197,2021-05-04 22:01:00,58817,441,cancelation,month,smart,3.5,5,2021
198,2021-02-07 22:00:00,7898,498,cancelation,year,enterprise,19.99,2,2021
199,2020-12-18 22:01:00,43362,441,purchase,month,smart,3.5,12,2020
200,2021-01-16 00:00:00,43362,441,cancelation,month,smart,3.5,1,2021
201,2021-05-12 17:25:00,72781,475,cancelation,trial,trial smart,0.0,5,2021
202,2021-05-13 09:44:00,72781,497,purchase,month,enterprise,10.99,5,2021
203,2021-01-09 21:01:00,42235,497,purchase,month,enterprise,10.99,1,2021
204,2021-02-06 21:01:00,42235,497,purchase,month,enterprise,10.99,2,2021
205,2021-03-09 22:01:00,42235,497,cancelation,month,enterprise,10.99,3,2021
206,2021-03-21 14:43:00,60869,475,cancelation,trial,trial smart,0.0,3,2021
207,2021-03-12 23:09:00,61218,443,purchase,month,smart,3.5,3,2021
208,2021-04-13 00:02:00,61218,443,purchase,month,smart,3.5,4,2021
209,2021-05-13 01:02:00,61218,443,purchase,month,smart,3.5,5,2021
210,2021-04-24 19:34:00,70033,455,purchase,month,smart,3.5,4,2021
211,2021-05-24 20:01:00,70033,455,purchase,month,smart,3.5,5,2021
212,2021-01-09 02:01:00,42085,497,purchase,month,enterprise,10.99,1,2021
213,2021-02-06 02:03:00,42085,497,purchase,month,enterprise,10.99,2,2021
214,2021-03-09 03:01:00,42085,497,purchase,month,enterprise,10.99,3,2021
215,2021-04-08 04:01:00,42085,497,purchase,month,enterprise,10.99,4,2021
216,2021-05-09 05:01:00,42085,497,purchase,month,enterprise,10.99,5,2021
217,2021-01-30 20:38:00,53657,442,purchase,year,smart,25.0,1,2021
218,2021-05-11 09:25:00,72559,513,purchase,month,smart plus,8.99,5,2021
219,2021-04-15 17:02:00,68237,515,purchase,month,smart plus,8.99,4,2021
220,2021-05-15 18:01:00,68237,515,purchase,month,smart plus,8.99,5,2021
221,2021-05-18 06:42:00,68237,515,cancelation,month,smart plus,8.99,5,2021
222,2020-12-24 17:10:00,21830,441,purchase,month,smart,3.5,12,2020
223,2021-01-20 14:00:00,21830,442,purchase,year,smart,25.0,1,2021
224,2021-01-10 23:01:00,46762,497,purchase,month,enterprise,10.99,1,2021
225,2021-02-10 23:01:00,46762,497,purchase,month,enterprise,10.99,2,2021
226,2021-03-13 00:01:00,46762,497,purchase,month,enterprise,10.99,3,2021
227,2021-04-13 01:01:00,46762,497,purchase,month,enterprise,10.99,4,2021
228,2021-05-13 02:02:00,46762,497,purchase,month,enterprise,10.99,5,2021
229,2020-12-14 21:11:00,46243,497,purchase,month,enterprise,10.99,12,2020
230,2021-01-11 22:01:00,46243,497,purchase,month,enterprise,10.99,1,2021
231,2021-02-11 22:01:00,46243,497,purchase,month,enterprise,10.99,2,2021
232,2021-03-13 23:00:00,46243,497,purchase,month,enterprise,10.99,3,2021
233,2021-04-13 23:02:00,46243,497,purchase,month,enterprise,10.99,4,2021
234,2021-05-14 00:02:00,46243,497,purchase,month,enterprise,10.99,5,2021
235,2021-05-21 17:09:00,74142,521,purchase,year,smart plus,15.99,5,2021
236,2021-05-25 10:02:00,23378,498,purchase,year,enterprise,19.99,5,2021
237,2020-12-27 04:01:00,30099,497,purchase,month,enterprise,10.99,12,2020
238,2021-01-24 05:01:00,30099,497,purchase,month,enterprise,10.99,1,2021
239,2021-02-24 22:01:00,30099,497,cancelation,month,enterprise,10.99,2,2021
240,2020-12-28 19:01:00,44663,441,purchase,month,smart,3.5,12,2020
241,2021-01-25 23:01:00,44663,441,cancelation,month,smart,3.5,1,2021
242,2020-12-24 17:01:00,4625,374,purchase,month,enterprise,10.99,12,2020
243,2021-01-21 18:01:00,4625,374,purchase,month,enterprise,10.99,1,2021
244,2021-02-21 18:01:00,4625,374,purchase,month,enterprise,10.99,2,2021
245,2021-03-23 19:00:00,4625,591,purchase,month,enterprise,12.99,3,2021
246,2021-04-23 19:02:00,4625,591,purchase,month,enterprise,12.99,4,2021
247,2021-05-23 20:01:00,4625,591,purchase,month,enterprise,12.99,5,2021
248,2021-01-07 13:01:00,37624,497,purchase,month,enterprise,10.99,1,2021
249,2021-02-04 14:01:00,37624,497,purchase,month,enterprise,10.99,2,2021
250,2021-03-07 14:01:00,37624,497,purchase,month,enterprise,10.99,3,2021
251,2021-04-06 22:02:00,37624,497,cancelation,month,enterprise,10.99,4,2021
252,2021-04-04 11:01:00,15059,442,purchase,year,smart,25.0,4,2021
253,2021-03-03 13:31:00,58555,456,purchase,year,smart,25.0,3,2021
254,2021-01-02 23:01:00,45368,511,cancelation,month,enterprise,10.99,1,2021
255,2021-03-30 16:49:00,64931,521,purchase,year,smart plus,15.99,3,2021
256,2021-04-18 13:32:00,68791,497,purchase,month,enterprise,10.99,4,2021
257,2021-05-18 14:01:00,68791,497,purchase,month,enterprise,10.99,5,2021
258,2020-12-29 15:01:00,44750,497,purchase,month,enterprise,10.99,12,2020
259,2021-01-26 16:02:00,44750,497,purchase,month,enterprise,10.99,1,2021
260,2021-02-26 22:01:00,44750,497,cancelation,month,enterprise,10.99,2,2021
261,2021-03-17 17:13:00,44750,513,purchase,month,smart plus,8.99,3,2021
262,2021-04-17 18:01:00,44750,513,purchase,month,smart plus,8.99,4,2021
263,2021-05-17 22:01:00,44750,513,cancelation,month,smart plus,8.99,5,2021
264,2020-12-19 12:01:00,39632,441,purchase,month,smart,3.5,12,2020
265,2021-01-16 13:01:00,39632,441,purchase,month,smart,3.5,1,2021
266,2021-02-16 13:01:00,39632,441,purchase,month,smart,3.5,2,2021
267,2021-03-18 14:01:00,39632,441,purchase,month,smart,3.5,3,2021
268,2021-04-18 15:01:00,39632,441,purchase,month,smart,3.5,4,2021
269,2021-05-18 16:01:00,39632,441,purchase,month,smart,3.5,5,2021
270,2021-05-05 19:23:00,71978,513,purchase,month,smart plus,8.99,5,2021
271,2021-06-04 20:01:00,71978,513,purchase,month,smart plus,8.99,6,2021
272,2021-02-10 22:01:00,50957,475,cancelation,trial,trial smart,0.0,2,2021
273,2021-05-12 09:27:00,72705,497,purchase,month,enterprise,10.99,5,2021
274,2021-01-25 17:33:00,53046,441,purchase,month,smart,3.5,1,2021
275,2021-01-31 10:57:00,53046,441,cancelation,month,smart,3.5,1,2021
276,2021-04-18 07:40:00,53046,497,purchase,month,enterprise,10.99,4,2021
277,2021-04-18 15:40:00,53046,497,cancelation,month,enterprise,10.99,4,2021
278,2021-05-20 12:02:00,22628,442,purchase,year,smart,25.0,5,2021
279,2020-12-31 10:51:00,31709,444,purchase,year,smart,25.0,12,2020
280,2020-12-31 10:52:00,31709,444,cancelation,year,smart,25.0,12,2020
281,2021-02-24 06:38:00,31083,497,purchase,month,enterprise,10.99,2,2021
282,2021-03-26 07:00:00,31083,497,purchase,month,enterprise,10.99,3,2021
283,2021-04-26 07:01:00,31083,497,purchase,month,enterprise,10.99,4,2021
284,2021-05-26 08:01:00,31083,497,purchase,month,enterprise,10.99,5,2021
285,2021-05-25 07:37:00,74662,513,purchase,month,smart plus,8.99,5,2021
286,2021-05-25 07:40:00,74662,497,purchase,month,enterprise,10.99,5,2021
287,2021-01-31 08:31:00,53656,475,cancelation,trial,trial smart,0.0,1,2021
288,2020-12-29 19:41:00,49381,497,purchase,month,enterprise,10.99,12,2020
289,2021-01-26 20:01:00,49381,497,purchase,month,enterprise,10.99,1,2021
290,2021-02-26 22:01:00,49381,497,cancelation,month,enterprise,10.99,2,2021
291,2021-03-23 20:38:00,63651,497,purchase,month,enterprise,10.99,3,2021
292,2021-03-23 20:42:00,63651,497,cancelation,month,enterprise,10.99,3,2021
293,2021-05-14 08:37:00,72978,513,purchase,month,smart plus,8.99,5,2021
294,2021-02-21 20:47:00,56691,497,purchase,month,enterprise,10.99,2,2021
295,2021-03-23 21:01:00,56691,497,purchase,month,enterprise,10.99,3,2021
296,2021-04-23 22:01:00,56691,497,purchase,month,enterprise,10.99,4,2021
297,2021-05-23 23:01:00,56691,497,purchase,month,enterprise,10.99,5,2021
298,2021-04-18 21:13:00,68936,497,cancelation,month,enterprise,10.99,4,2021
299,2021-04-18 20:53:00,68936,497,purchase,month,enterprise,10.99,4,2021
300,2021-04-08 16:38:00,66795,441,purchase,month,smart,3.5,4,2021
301,2021-05-09 17:01:00,66795,441,purchase,month,smart,3.5,5,2021
302,2021-01-11 00:02:00,15567,447,purchase,month,smart,3.5,1,2021
303,2021-02-11 00:01:00,15567,447,purchase,month,smart,3.5,2,2021
304,2021-03-13 01:01:00,15567,447,purchase,month,smart,3.5,3,2021
305,2021-04-13 02:01:00,15567,447,purchase,month,smart,3.5,4,2021
306,2021-05-13 02:02:00,15567,447,purchase,month,smart,3.5,5,2021
307,2020-12-22 22:31:00,48545,497,purchase,month,enterprise,10.99,12,2020
308,2021-01-19 23:01:00,48545,497,purchase,month,enterprise,10.99,1,2021
309,2021-02-20 22:01:00,48545,497,cancelation,month,enterprise,10.99,2,2021
310,2021-04-13 12:14:00,67794,497,purchase,month,enterprise,10.99,4,2021
311,2021-04-13 13:14:00,67794,497,cancelation,month,enterprise,10.99,4,2021
312,2021-02-23 10:57:00,56912,513,purchase,month,smart plus,8.99,2,2021
313,2021-03-25 11:01:00,56912,513,purchase,month,smart plus,8.99,3,2021
314,2021-04-25 12:01:00,56912,513,purchase,month,smart plus,8.99,4,2021
315,2021-05-25 13:00:00,56912,513,purchase,month,smart plus,8.99,5,2021
316,2020-12-29 21:01:00,5304,381,purchase,year,smart,20.0,12,2020
317,2021-03-12 16:01:00,55131,441,purchase,month,smart,3.5,3,2021
318,2021-04-12 22:01:00,55131,441,cancelation,month,smart,3.5,4,2021
319,2021-02-10 15:40:00,55131,441,purchase,month,smart,3.5,2,2021
320,2021-05-08 21:24:00,72229,497,purchase,month,enterprise,10.99,5,2021
321,2021-04-19 23:32:00,69178,497,purchase,month,enterprise,10.99,4,2021
322,2021-05-20 00:01:00,69178,497,purchase,month,enterprise,10.99,5,2021
323,2021-04-17 14:53:00,68539,475,cancelation,trial,trial smart,0.0,4,2021
324,2021-04-17 15:05:00,68544,441,purchase,month,smart,3.5,4,2021
325,2021-05-17 22:01:00,68544,441,cancelation,month,smart,3.5,5,2021
326,2021-06-04 17:21:00,75276,475,cancelation,trial,trial smart,0.0,6,2021
327,2021-04-17 20:49:00,68608,475,cancelation,trial,trial smart,0.0,4,2021
328,2021-04-22 19:44:00,68618,475,cancelation,trial,trial smart,0.0,4,2021
329,2021-04-26 12:10:00,70409,513,purchase,month,smart plus,8.99,4,2021
330,2021-05-26 22:01:00,70409,513,cancelation,month,smart plus,8.99,5,2021
331,2021-04-19 13:59:00,69073,513,purchase,month,smart plus,8.99,4,2021
332,2021-05-19 14:01:00,69073,513,purchase,month,smart plus,8.99,5,2021
333,2021-04-18 05:17:00,68647,441,purchase,month,smart,3.5,4,2021
334,2021-05-18 06:00:00,68647,441,purchase,month,smart,3.5,5,2021
335,2021-04-21 20:19:00,68658,475,cancelation,trial,trial smart,0.0,4,2021
336,2021-01-24 14:08:00,52840,498,purchase,year,enterprise,19.99,1,2021
337,2021-05-25 14:26:00,74742,513,purchase,month,smart plus,8.99,5,2021
338,2021-01-23 06:18:00,52623,507,purchase,month,enterprise,10.99,1,2021
339,2021-02-23 06:01:00,52623,507,purchase,month,enterprise,10.99,2,2021
340,2021-03-25 07:00:00,52623,507,purchase,month,enterprise,10.99,3,2021
341,2021-04-25 22:01:00,52623,507,cancelation,month,enterprise,10.99,4,2021
342,2021-03-01 05:40:00,57928,523,purchase,year,smart plus,15.99,3,2021
343,2021-01-23 14:39:00,52679,441,purchase,month,smart,3.5,1,2021
344,2021-02-23 14:01:00,52679,441,purchase,month,smart,3.5,2,2021
345,2021-03-25 15:01:00,52679,441,purchase,month,smart,3.5,3,2021
346,2021-04-25 16:01:00,52679,441,purchase,month,smart,3.5,4,2021
347,2021-05-25 17:01:00,52679,441,purchase,month,smart,3.5,5,2021
348,2021-06-03 22:34:00,76207,497,purchase,month,enterprise,10.99,6,2021
349,2021-02-02 16:50:00,52696,484,cancelation,trial,trial smart,0.0,2,2021
